1,001,1,41,283453
1,001,2,30,276703
1,001,3,44,298858
1,001,4,51,340017
1,001,5,66,350757
1,001,6,84,297491
1,001,7,128,272878
1,001,8,184,263138
1,001,9,319,230970
1,001,10,546,184817
1,001,11,765,147926
1,001,12,1036,110608
1,001,13,1262,88108
1,001,14,1487,66009
1,001,15,1456,45253
1,001,16,1148,27138
1,001,17,646,15262
1,001,18,502,10607
1,001,19,20,0
2,001,1,29,274899
2,001,2,23,271573
2,001,3,35,296128
2,001,4,49,354759
2,001,5,82,375388
2,001,6,139,322397
2,001,7,235,302576
2,001,8,386,300325
2,001,9,629,269691
2,001,10,798,223835
2,001,11,910,181428
2,001,12,966,137119
2,001,13,948,116296
2,001,14,1039,93384
2,001,15,1004,72899
2,001,16,987,48250
2,001,17,688,30916
2,001,18,653,26336
2,001,19,20,0
1,002,1,41,283453
1,002,2,30,276703
1,002,3,44,298858
1,002,4,47,340017
1,002,5,61,350757
1,002,6,74,297491
1,002,7,102,272878
1,002,8,151,263138
1,002,9,264,230970
1,002,10,451,184817
1,002,11,649,147926
1,002,12,900,110608
1,002,13,1096,88108
1,002,14,1285,66009
1,002,15,1238,45253
1,002,16,946,27138
1,002,17,483,15262
1,002,18,385,10607
1,002,19,10,0
2,002,1,28,274899
2,002,2,23,271573
2,002,3,33,296128
2,002,4,49,354759
2,002,5,79,375388
2,002,6,125,322397
2,002,7,217,302576
2,002,8,344,300325
2,002,9,560,269691
2,002,10,705,223835
2,002,11,806,181428
2,002,12,836,137119
2,002,13,799,116296
2,002,14,848,93384
2,002,15,799,72899
2,002,16,756,48250
2,002,17,511,30916
2,002,18,455,26336
2,002,19,11,0
1,003,1,0,283453
1,003,2,1,276703
1,003,3,6,298858
1,003,4,1,340017
1,003,5,1,350757
1,003,6,4,297491
1,003,7,1,272878
1,003,8,15,263138
1,003,9,37,230970
1,003,10,60,184817
1,003,11,75,147926
1,003,12,70,110608
1,003,13,61,88108
1,003,14,58,66009
1,003,15,36,45253
1,003,16,27,27138
1,003,17,13,15262
1,003,18,12,10607
1,003,19,2,0
2,003,1,1,274899
2,003,2,0,271573
2,003,3,0,296128
2,003,4,2,354759
2,003,5,4,375388
2,003,6,4,322397
2,003,7,6,302576
2,003,8,4,300325
2,003,9,10,269691
2,003,10,17,223835
2,003,11,14,181428
2,003,12,19,137119
2,003,13,14,116296
2,003,14,22,93384
2,003,15,15,72899
2,003,16,11,48250
2,003,17,13,30916
2,003,18,14,26336
2,003,19,0,0
1,004,1,0,283453
1,004,2,0,276703
1,004,3,0,298858
1,004,4,0,340017
1,004,5,0,350757
1,004,6,1,297491
1,004,7,0,272878
1,004,8,0,263138
1,004,9,0,230970
1,004,10,1,184817
1,004,11,1,147926
1,004,12,0,110608
1,004,13,1,88108
1,004,14,0,66009
1,004,15,0,45253
1,004,16,1,27138
1,004,17,0,15262
1,004,18,1,10607
1,004,19,0,0
2,004,1,0,274899
2,004,2,0,271573
2,004,3,0,296128
2,004,4,0,354759
2,004,5,0,375388
2,004,6,0,322397
2,004,7,0,302576
2,004,8,0,300325
2,004,9,0,269691
2,004,10,0,223835
2,004,11,0,181428
2,004,12,0,137119
2,004,13,1,116296
2,004,14,0,93384
2,004,15,1,72899
2,004,16,0,48250
2,004,17,1,30916
2,004,18,2,26336
2,004,19,0,0
1,005,1,0,283453
1,005,2,0,276703
1,005,3,0,298858
1,005,4,0,340017
1,005,5,1,350757
1,005,6,0,297491
1,005,7,0,272878
1,005,8,3,263138
1,005,9,8,230970
1,005,10,13,184817
1,005,11,26,147926
1,005,12,13,110608
1,005,13,10,88108
1,005,14,12,66009
1,005,15,10,45253
1,005,16,9,27138
1,005,17,4,15262
1,005,18,4,10607
1,005,19,1,0
2,005,1,1,274899
2,005,2,0,271573
2,005,3,0,296128
2,005,4,0,354759
2,005,5,0,375388
2,005,6,0,322397
2,005,7,1,302576
2,005,8,2,300325
2,005,9,1,269691
2,005,10,5,223835
2,005,11,6,181428
2,005,12,3,137119
2,005,13,2,116296
2,005,14,7,93384
2,005,15,3,72899
2,005,16,2,48250
2,005,17,2,30916
2,005,18,4,26336
2,005,19,0,0
1,006,1,0,283453
1,006,2,0,276703
1,006,3,0,298858
1,006,4,0,340017
1,006,5,0,350757
1,006,6,0,297491
1,006,7,0,272878
1,006,8,1,263138
1,006,9,4,230970
1,006,10,7,184817
1,006,11,11,147926
1,006,12,3,110608
1,006,13,6,88108
1,006,14,6,66009
1,006,15,3,45253
1,006,16,3,27138
1,006,17,2,15262
1,006,18,1,10607
1,006,19,0,0
2,006,1,1,274899
2,006,2,0,271573
2,006,3,0,296128
2,006,4,0,354759
2,006,5,0,375388
2,006,6,0,322397
2,006,7,0,302576
2,006,8,1,300325
2,006,9,0,269691
2,006,10,0,223835
2,006,11,2,181428
2,006,12,1,137119
2,006,13,0,116296
2,006,14,1,93384
2,006,15,0,72899
2,006,16,0,48250
2,006,17,0,30916
2,006,18,1,26336
2,006,19,0,0
1,007,1,0,283453
1,007,2,0,276703
1,007,3,0,298858
1,007,4,0,340017
1,007,5,1,350757
1,007,6,0,297491
1,007,7,0,272878
1,007,8,2,263138
1,007,9,4,230970
1,007,10,6,184817
1,007,11,15,147926
1,007,12,10,110608
1,007,13,4,88108
1,007,14,6,66009
1,007,15,7,45253
1,007,16,6,27138
1,007,17,2,15262
1,007,18,3,10607
