Age,Population,Sex,Year,Source,Source Table
0,3635850 ,Female,2012,http://ihi.eprints.org/2169/1/Age_Sex_Distribution.pdf,Table 1
5,3325202 ,,,,
10,2900004 ,,,,
15,2369860 ,,,,
20,2160986 ,,,,
25,1843732 ,,,,
30,1529610 ,,,,
35,1258301 ,,,,
40,955081 ,,,,
45,787547 ,,,,
50,603666 ,,,,
55,381736 ,,,,
60,390494 ,,,,
65,253864 ,,,,
70,251346 ,,,,
75,147489 ,,,,
80,264165 ,,,,
