AgeGroup,Age,Population,Source
0-4,0,88569,http://seer.cancer.gov/stdpopulations/world.who.html
5-9,5,86870,
10-14,10,85970,
15-19,15,84670,
20-24,20,82171,
25-29,25,79272,
30-34,30,76073,
35-39,35,71475,
40-44,40,65877,
45-49,45,60379,
50-54,50,53681,
55-59,55,45484,
60-64,60,37187,
65-69,65,29590,
70-74,70,22092,
75-79,75,15195,
80-84,80,9097,
85-89,85,6348,
